Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","0.35","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","8.47","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.76","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","13.28","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","54.58","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.77","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","5.72","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","24.28","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","14.43","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","2.01","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","27.11","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","21.2","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","25.98","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","42.46","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","11.86","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","24.14","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","17.41","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","15.68","E","Estimated value"
"FBS","Food Balances (2010-)","064","Bhutan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.3","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","2.7","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","7.41","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","2.35","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","8.03","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","7.2","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","8.44","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","2.46","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","9.48","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","43.88","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","18.28","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","20.52","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.44","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.31","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","14.48","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","39.87","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","65.84","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","69.21","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","39.89","E","Estimated value"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","29.71","E","Estimated value"
"FBS","Food Balances (2010-)","170","Colombia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","8.78","E","Estimated value"
"FBS","Food Balances (2010-)","174","Comoros","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","17.35","E","Estimated value"
"FBS","Food Balances (2010-)","178","Congo","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","23.13","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","17.66","E","Estimated value"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","21.47","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","20.19","E","Estimated value"
"FBS","Food Balances (2010-)","192","Cuba","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.1","E","Estimated value"
"FBS","Food Balances (2010-)","196","Cyprus","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","24.72","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","10.66","E","Estimated value"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","11.51","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.9","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","22.92","E","Estimated value"
"FBS","Food Balances (2010-)","262","Djibouti","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.85","E","Estimated value"
"FBS","Food Balances (2010-)","212","Dominica","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","23.61","E","Estimated value"
"FBS","Food Balances (2010-)","214","Dominican Republic","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","8.29","E","Estimated value"
"FBS","Food Balances (2010-)","218","Ecuador","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.52","E","Estimated value"
"FBS","Food Balances (2010-)","818","Egypt","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","25.32","E","Estimated value"
"FBS","Food Balances (2010-)","222","El Salvador","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","7.21","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","13.07","E","Estimated value"
"FBS","Food Balances (2010-)","748","Eswatini","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","4.15","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","0.52","E","Estimated value"
"FBS","Food Balances (2010-)","242","Fiji","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","29.15","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","31.86","E","Estimated value"
"FBS","Food Balances (2010-)","250","France","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","33.61","E","Estimated value"
"FBS","Food Balances (2010-)","258","French Polynesia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","46.08","E","Estimated value"
"FBS","Food Balances (2010-)","266","Gabon","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","31.11","E","Estimated value"
"FBS","Food Balances (2010-)","270","Gambia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","23.05","E","Estimated value"
"FBS","Food Balances (2010-)","268","Georgia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","10.64","E","Estimated value"
"FBS","Food Balances (2010-)","276","Germany","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","13.15","E","Estimated value"
"FBS","Food Balances (2010-)","288","Ghana","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","23.6","E","Estimated value"
"FBS","Food Balances (2010-)","300","Greece","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","21.67","E","Estimated value"
"FBS","Food Balances (2010-)","308","Grenada","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","30.54","E","Estimated value"
"FBS","Food Balances (2010-)","320","Guatemala","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.43","E","Estimated value"
"FBS","Food Balances (2010-)","324","Guinea","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","10.93","E","Estimated value"
"FBS","Food Balances (2010-)","624","Guinea-Bissau","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","1.13","E","Estimated value"
"FBS","Food Balances (2010-)","328","Guyana","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","25.43","E","Estimated value"
"FBS","Food Balances (2010-)","332","Haiti","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","4.97","E","Estimated value"
"FBS","Food Balances (2010-)","340","Honduras","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","4.55","E","Estimated value"
"FBS","Food Balances (2010-)","348","Hungary","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","6.33","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","87.71","E","Estimated value"
"FBS","Food Balances (2010-)","356","India","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","7.96","E","Estimated value"
"FBS","Food Balances (2010-)","360","Indonesia","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","44.4","E","Estimated value"
"FBS","Food Balances (2010-)","364","Iran (Islamic Republic of)","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","12.06","E","Estimated value"
"FBS","Food Balances (2010-)","368","Iraq","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.32","E","Estimated value"
"FBS","Food Balances (2010-)","372","Ireland","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","20.08","E","Estimated value"
"FBS","Food Balances (2010-)","376","Israel","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","22.54","E","Estimated value"
"FBS","Food Balances (2010-)","380","Italy","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","29.52","E","Estimated value"
"FBS","Food Balances (2010-)","388","Jamaica","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","27.59","E","Estimated value"
"FBS","Food Balances (2010-)","392","Japan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","45.12","E","Estimated value"
"FBS","Food Balances (2010-)","400","Jordan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","4.74","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","3.68","E","Estimated value"
"FBS","Food Balances (2010-)","404","Kenya","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","2.89","E","Estimated value"
"FBS","Food Balances (2010-)","296","Kiribati","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","74.33","E","Estimated value"
"FBS","Food Balances (2010-)","414","Kuwait","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","14.76","E","Estimated value"
"FBS","Food Balances (2010-)","417","Kyrgyzstan","645","Food supply quantity (kg/capita/yr)","S2960","Fish, Seafood","2021","2021","kg","0.86","E","Estimated value"
