Lat;Long;Nom de l'installation;Commune;Code Postal;Directive IPPC;Code Seveso;Statut Seveso
48.9742145743; 2.49727197291;NORD STOCK CHEM;VILLEPINTE;93420;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9890225263; 2.64510914991;GEREP;COMPANS;77290;Soumis à la directive IPPC;AS;Seveso seuil haut
48.7581711977; 2.41694099745;VEOLIA EAU ILE DE FRANCE;CHOISY LE ROI;94600;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.6984373951; 2.88368321724;FM LOGISTIC;FONTENAY TRESIGNY;77610;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.5774716619; 2.97290629791;TOTAL Raffinage France;GRANDPUITS BAILLY CARROIS;77720;Soumis à la directive IPPC;AS;Seveso seuil haut
48.8728491745; 2.6557297133;EDF TAC;VAIRES SUR MARNE;77360;Soumis à la directive IPPC;SB;Seveso seuil bas
48.9480583155; 2.29586530223;SITA REKEM;GENNEVILLIERS;92230;Soumis à la directive IPPC;SB;Seveso seuil bas
49.0399463596; 2.13768103314;SOL FRANCE (ex GAZ TECHNIQUES DE FRANCE);ST OUEN L AUMONE;95066;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.05992649; 2.1214766664;FINANCIERE LOGIMMO ET DEVELOPPEMENT;ST OUEN L AUMONE;95066;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9478264574; 2.29009304929;SOGEPP;GENNEVILLIERS;92230;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.5382687382; 2.36434466274;HERAKLES;VERT LE PETIT;91710;Non soumis à la directive IPPC;AS;Seveso seuil haut
49.0191822988; 2.17338246802;LOGIGAZ NORD SAS;PIERRELAYE;95220;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9664696498; 2.91677965297;DAHER;POINCY;77470;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.2281582652; 2.70595763426;KERAGLASS;BAGNEAUX SUR LOING;77167;Soumis à la directive IPPC;AS;Seveso seuil haut
48.7399057258; 1.92286659991;TRAPIL;COIGNIERES;78310;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.946222843; 2.27606599067;TOTAL MARKETING FRANCE;GENNEVILLIERS;92230;Non soumis à la directive IPPC;AS;Seveso seuil haut
49.0124646505; 2.08882687609;SAINT GOBAIN ABRASIVES;CONFLANS STE HONORINE;78700;Soumis à la directive IPPC;SB;Seveso seuil bas
48.9452552326; 2.31971353746;UNIVAR;VILLENEUVE LA GARENNE;92390;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9916214325; 1.75734983376;PCAS;LIMAY;78520;Soumis à la directive IPPC;SB;Seveso seuil bas
48.9324576619; 2.29621285817;SNECMA;COLOMBES;92700;Soumis à la directive IPPC;SB;Seveso seuil bas
48.9114731046; 2.36311919968;TECHNIC FRANCE;ST DENIS;93200;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.763483459; 2.68742799652;STEN;OZOIR LA FERRIERE;77330;Soumis à la directive IPPC;SB;Seveso seuil bas
49.0640887355; 2.01683015833;PANHARD DEVELOPPEMENT;PUISEUX PONTOISE;95650;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9329300408; 2.40508773298;COMPAGNIE DES GAZ DE PETROLE PRIMAGAZ SA;LA COURNEUVE;93120;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.6651451046; 2.40525320946;ANTARGAZ;RIS ORANGIS;91130;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.3804954617; 2.85284516002;EDF (Turbines à combustion);VERNOU LA CELLE SUR SEINE;77670;Soumis à la directive IPPC;SB;Seveso seuil bas
48.6141885715; 2.57371106348;Air Liquide France Industrie (ALFI);MOISSY CRAMAYEL;77550;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.7366241988; 1.91510131765;RAFFINERIE DU MIDI;COIGNIERES;78310;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.8452819038; 1.87641354164;Storengy;BEYNES;78650;Soumis à la directive IPPC;AS;Seveso seuil haut
48.9406788025; 2.44768687105;AIR LIQUIDE;LE BLANC MESNIL;93150;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.5183348326; 2.6680575784;ENTREPOTS PETROLIERS de la HAUTE SEINE;LA ROCHETTE;77000;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9461501848; 2.31107319286;ISOCHEM;GENNEVILLIERS;92230;Soumis à la directive IPPC;SB;Seveso seuil bas
48.7587048344; 1.92983874579;AIR PRODUCTS (EX.PRODAIR);MAUREPAS;78276;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9480053347; 2.29450067428;TRAPIL;GENNEVILLIERS;92230;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.1819243014; 2.71987123003;OUVRE FILS Sucrerie et Distillerie;SOUPPES SUR LOING;77460;Soumis à la directive IPPC;SB;Seveso seuil bas
48.6289932287; 2.59657797637;PROLOGIS  FRANCE XCV Eurl;MOISSY CRAMAYEL;77550;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.3929631352; 2.97628067998;QUARON;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.5418231641; 2.10686855587;KMG Chemicals Inc.;ST CHERON;91530;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.5983743142; 2.88001094208;FM FRANCE SAS;MORMANT;77720;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9424175943; 2.41979147757;CHIMIREC;DUGNY;93440;Soumis à la directive IPPC;SB;Seveso seuil bas
49.0572515755; 3.17470943407;Storengy;GERMIGNY SOUS COULOMBS;77840;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9801813137; 2.63254621588;MESSER FRANCE;MITRY MORY;77290;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.8986135734; 2.18238930877;SOCIETE DES LUBRIFIANTS DE NANTERRE;NANTERRE;92000;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.7182283552; 2.39906272493;SMCA;ATHIS MONS;91200;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9830665944; 2.63805906086;GAZECHIM;MITRY MORY;77290;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.4521774776; 2.14789768445;TRIADIS;ETAMPES;91150;Soumis à la directive IPPC;AS;Seveso seuil haut
48.723693351; 2.36869731973;SMCA;PARAY VIEILLE POSTE;91550;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.8456460223; 2.78831467127;AUVALIS;SERRIS;77700;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0471399079; 2.14267781099;AMPERE INDUSTRIE;ST OUEN L AUMONE;95066;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9737123398; 2.16120981459;SIAAP;ACHERES;78260;Soumis à la directive IPPC;AS;Seveso seuil haut
48.9739858667; 1.79438376935;TOTAL RAFFINAGE FRANCE;GARGENVILLE;78440;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.7859263345; 2.41309231746;EFR FRANCE;VITRY SUR SEINE;94400;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.7414829472; 2.78492802367;BRENNTAG;TOURNAN EN BRIE;77220;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.8515800138; 2.53121608485;VEOLIA EAU IDF EX CGE;NOISY LE GRAND;93160;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.3860431159; 2.96936813458;BUTAGAZ SAS;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9466874573; 2.31224024255;RUBIS TERMINAL;VILLENEUVE LA GARENNE;92390;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9552985443; 2.96762023638;RECTICEL- PROSEAT;TRILPORT;77470;Soumis à la directive IPPC;SB;Seveso seuil bas
48.540377485; 2.35499868434;ISOCHEM VLP;VERT LE PETIT;91710;Soumis à la directive IPPC;AS;Seveso seuil haut
49.0378099607; 2.55247161757;SMCA Manutention Carburant Aviation;CHENNEVIERES LES LOUVRES;95380;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.7864376418; 2.41834040097;EDF  CETAC;VITRY SUR SEINE;94400;Soumis à la directive IPPC;SB;Seveso seuil bas
48.6673866424; 2.4020092956;CIM INDUSTRIELLE MARITIME;GRIGNY;91350;Non soumis à la directive IPPC;AS;Seveso seuil haut
49.0688168172; 2.1796263186;VEOLIA EAU D'ILE DE FRANCE (MERY);MERY SUR OISE;95540;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.5857727635; 2.82892375506;VERMILION REP SAS;ST MERY;77720;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.7617148254; 2.45113033305;SIAAP;VALENTON;94460;Soumis à la directive IPPC;SB;Seveso seuil bas
48.612380732; 2.59178137406;GERILOGISTIC;MOISSY CRAMAYEL;77550;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9933185978; 1.65135197024;GOODMAN ROSNY FRANCE;ROSNY SUR SEINE;78710;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.5774716619; 2.97290629791;BOREALIS CHIMIE;GRANDPUITS BAILLY CARROIS;77720;Soumis à la directive IPPC;AS;Seveso seuil haut
48.7278713882; 2.84039850883;EDISSIMMO;CHATRES;77610;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0930931943; 2.54358842354;NCS PYROTECHNIE;SURVILLIERS;95470;Soumis à la directive IPPC;AS;Seveso seuil haut
48.5812598481; 2.5953448988;ND LOGISTICS;SAVIGNY LE TEMPLE;77176;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9853241217; 1.55039919942;Storengy;ST ILLIERS LA VILLE;78980;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9840938274; 1.75732484739;AIR LIQUIDE FRANCE INDUSTRIE (USINE);LIMAY;78520;Soumis à la directive IPPC;SB;Seveso seuil bas
49.0909042436; 2.51276233861;CENTREX;MARLY LA VILLE;95670;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9826685521; 2.63726942385;UNIVAR;MITRY MORY;77290;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9872382066; 2.64993083709;CCMP SAS;COMPANS;77290;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.3811851892; 3.02714846752;FM LOGISTIC S.A;MAROLLES SUR SEINE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.7511909449; 2.3010763575;GALION;ANTONY;92160;Soumis à la directive IPPC;SB;Seveso seuil bas
48.9848399714; 1.75990321345;LINDEFRANCE;PORCHEVILLE;78440;Soumis à la directive IPPC;SB;Seveso seuil bas
48.7370139912; 2.43135974638;SPVM;VILLENEUVE LE ROI;94290;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.5765023231; 2.59302280471;KUEHNE + NAGEL;SAVIGNY LE TEMPLE;77176;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.3811851892; 3.02714846752;GEMFI;MAROLLES SUR SEINE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.3856762664; 2.97894474826;YARA France;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.5722093523; 2.47711946076;ALTIS SEMICONDUCTOR;CORBEIL ESSONNES;91100;Soumis à la directive IPPC;SB;Seveso seuil bas
48.7025330439; 2.61772702903;HEPPNER;BRIE COMTE ROBERT;77170;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0036190737; 1.70386210387;ONIVAL;MANTES LA JOLIE;78200;Soumis à la directive IPPC;SB;Seveso seuil bas
48.384533506; 2.9779592095;MENDES;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.6415394989; 2.5483243206;UNIVAR;LIEUSAINT;77127;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9557190048; 2.89885432487;BASF (ex COGNIS FRANCE SIDOBRE SINNOVA);MEAUX;77100;Soumis à la directive IPPC;AS;Seveso seuil haut
48.973131685; 1.75046941479;SARP Industries;LIMAY;78520;Soumis à la directive IPPC;AS;Seveso seuil haut
49.20468583; 1.70618188083;Storengy;ST CLAIR SUR EPTE;95770;Non soumis à la directive IPPC;AS;Seveso seuil haut
49.0052067413; 2.20923892395;SILAR;BEAUCHAMP;95250;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0380827726; 2.69768929991;DISTRIBUTION FRANPRIX SA;ST MARD;77230;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9269059505; 2.60872507399;SITA FD ex FRANCE DECHETS (décharge cl1);VILLEPARISIS;77270;Soumis à la directive IPPC;AS;Seveso seuil haut
48.9014751412; 2.18395407221;CCMP;NANTERRE;92000;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9282644243; 2.22854656635;PROTEC INDUSTRIE;BEZONS;95870;Soumis à la directive IPPC;SB;Seveso seuil bas
48.3904901902; 2.98334653416;LINDE France s.a.;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
